track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_acoustic_proba,genre_country_proba,genre_hiphop_proba,genre_pop_proba,genre_rnb_proba,genre_rock_proba
4IdTzjXYZ0D53eztIxS29c,After Your Heart,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,272346,2023-03-17,40,0.402,0.385,6,-9.584,1,0.037,0.625,0.0,0.111,0.135,129.926,0,acoustic,0.3489793429398268,0.3489793429398268,0.13155979584931196,0.024,0.17808333333333332,0.24127314622314622,0.07610438165438166
5V9N9k2ha2XZdXl6cM9Ny1,Happily Ever After,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,270853,2023-03-17,44,0.449,0.337,4,-9.95,0,0.0367,0.778,0.0,0.0921,0.133,74.063,0,acoustic,0.5433333333333332,0.5433333333333332,0.10266666666666667,0.036,0.05,0.262,0.006
38KLxSU8hLurs4qcDt2d8H,If You Tell Me You Love Me,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,247733,2023-03-17,44,0.388,0.415,4,-6.4,1,0.0301,0.637,0.0,0.0983,0.228,135.503,0,acoustic,0.5282065048986101,0.5282065048986101,0.21291565276828436,0.022166666666666664,0.10824523809523809,0.06393333333333334,0.06453260423786739
23MT1Rzx80fVlRpVA9N68m,Love Me Instead - Acoustic Version,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,247817,2023-03-17,36,0.643,0.125,5,-11.65,1,0.0918,0.874,0.0,0.2,0.389,149.803,0,acoustic,0.8396417910447761,0.8396417910447761,0.06232835820895522,0.014,0.024,0.05802985074626866,0.002
5FhmZfirxKD0eIGRvAi0AS,Wala Nang Kulang Pa,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,216320,2023-03-17,44,0.666,0.679,4,-6.02,1,0.123,0.479,0.0,0.33,0.511,143.928,4,rnb,0.4328457292815619,0.03632094943240454,0.043958123249299715,0.2823493578361932,0.1435039226615953,0.4328457292815619,0.0610219175389454
2GVh2gtQQCb2arXKTIpSfr,Happily Ever After - Lull Ave Remix,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,263294,2023-03-17,32,0.594,0.622,2,-8.66,1,0.0597,0.661,0.000121,0.0932,0.474,169.967,4,rnb,0.3159830486542443,0.22218214285714288,0.16301071428571426,0.07826594202898553,0.1551295807453416,0.3159830486542443,0.06542857142857142
46QnVEPeRMoOXQxNYqmveZ,Love Me Instead - 31° Remix,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,219029,2023-03-17,32,0.745,0.731,5,-5.682,1,0.0404,0.0239,1.33e-06,0.0679,0.487,102.988,3,pop,0.5406363081511208,0.013344537815126052,0.050678654678654685,0.15721465433822435,0.5406363081511208,0.20554255497358415,0.03258329004329004
022b5kpXkh5p5oHjAGgz9q,Be My Fairytale - Bit Remix,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,264193,2023-03-17,32,0.751,0.7,0,-6.701,1,0.0522,0.0465,3.66e-05,0.0882,0.668,124.043,3,pop,0.46827419886614946,0.04025,0.047799999999999995,0.1363298024472947,0.46827419886614946,0.19982139506520313,0.10752460362135287
4URH8XHm5r8PtgfsPR84hJ,If You Tell Me You Love Me - Monsoon Chase Remix,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,301764,2023-03-17,32,0.556,0.62,1,-7.999,0,0.0386,0.0204,7.18e-05,0.178,0.278,136.054,5,rock,0.2873333333333334,0.131,0.06,0.136,0.1705,0.21516666666666667,0.2873333333333334
7Legzp48xXmMy0MYZ7adQu,After Your Heart - Plunge Remix,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4nijdXddpS87bQmHhhPhxT,303500,2023-03-17,36,0.602,0.435,6,-9.639,1,0.0315,0.206,4.73e-05,0.114,0.345,129.954,1,country,0.37595414633007423,0.3247150614618366,0.37595414633007423,0.006,0.056477871306120954,0.10824300430325827,0.12860991659871007
6tTrbaYTyKDfzke4YEx3Tr,Malaya - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,349333,2021-10-22,36,0.469,0.272,7,-10.494,1,0.0264,0.608,0.0,0.118,0.148,89.813,0,acoustic,0.45664731934731934,0.45664731934731934,0.39586697284197286,7.407407407407407e-05,0.020524999999999998,0.08318293003293004,0.0437037037037037
6Fs8REoqmAGwBJWYlt8aWJ,Before It Sinks In - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,282253,2021-10-22,39,0.423,0.283,1,-12.715,1,0.0456,0.826,0.0,0.107,0.326,140.886,0,acoustic,0.8432503388455306,0.8432503388455306,0.0912446985647612,0.002,0.004,0.05548694457169034,0.004018018018018018
6SnRrS3Ma4XUysbjTgJK1F,Saglit - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,289838,2021-10-22,36,0.626,0.0825,6,-15.897,1,0.0502,0.941,0.0,0.0781,0.327,80.91,0,acoustic,0.8492342799070848,0.8492342799070848,0.13858815911730546,0.006,0.0,0.0061775609756097565,0.0
50GSDw5OXdbGJCHK1OfZIt,Tagu-Taguan - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,280941,2021-10-22,34,0.406,0.277,1,-12.603,1,0.0521,0.89,2.97e-06,0.11,0.379,83.297,0,acoustic,0.9014894429617532,0.9014894429617532,0.04040672439204127,0.006,0.014033898305084745,0.038051916323102765,1.801801801801802e-05
1Ei10foTGxCP3B5Mkt2Q6b,Tagpuan - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,275735,2021-10-22,30,0.518,0.159,8,-15.39,1,0.0386,0.878,0.0,0.0871,0.297,135.565,0,acoustic,0.92944418045876,0.92944418045876,0.06243837659448963,0.0,4.9646336580808755e-05,0.008067796610169492,0.0
5TH5l3hebFeKYpCMjfS3up,Sabi-Sabi - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,256690,2021-10-22,33,0.521,0.373,7,-12.334,0,0.0315,0.924,0.00399,0.127,0.309,141.671,0,acoustic,0.7978888888888889,0.7978888888888889,0.09207407407407407,0.02,0.014,0.05603703703703704,0.02
2GcD8DPlqbpHFoBf0SLzkw,Take Her to the Moon - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,391898,2021-10-22,36,0.324,0.311,4,-13.386,1,0.0339,0.88,3.98e-05,0.116,0.14,156.762,0,acoustic,0.7281273299959143,0.7281273299959143,0.17385093087365094,0.002,0.02,0.06802173913043479,0.008
2fF6qGPN0V4JuPSOKXz5eb,Ikaw At Ako - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,290280,2021-10-22,35,0.493,0.0215,4,-22.535,1,0.0468,0.967,0.0,0.105,0.282,124.993,0,acoustic,0.674,0.674,0.326,0.0,0.0,0.0,0.0
6K7bS60NL2eKXJewpR31PY,We & Us - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,347112,2021-10-22,49,0.529,0.294,3,-12.809,1,0.0318,0.799,0.0,0.069,0.199,96.475,0,acoustic,0.7060462962962963,0.7060462962962963,0.2139537037037037,0.002,0.018,0.044,0.016
5kPdpf2ttubukADTVTpweZ,Kita Na Kita - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,213428,2021-10-22,33,0.618,0.232,1,-13.988,1,0.0308,0.842,0.0,0.137,0.335,105.028,0,acoustic,0.7992590800925387,0.7992590800925387,0.18062881333254796,0.0,1.5748031496062993e-05,0.008096358543417366,0.012
7HhYPXZS0PtQOHskMyQqqF,Ang Iwasan - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,282558,2021-10-22,34,0.566,0.319,8,-10.359,1,0.0294,0.632,9.74e-06,0.0987,0.122,85.916,0,acoustic,0.550383658142032,0.550383658142032,0.22746500273604062,0.018,0.042,0.10615133912192735,0.056
0LCxGJg9yxoo1TvwO5hEuT,Ikaw Parin - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,256764,2021-10-22,33,0.534,0.315,4,-13.464,1,0.0372,0.8,0.0,0.168,0.163,135.963,0,acoustic,0.6336228601163927,0.6336228601163927,0.24738440380612547,0.008,0.038,0.058992736077481844,0.014
1DGMAr5o2ckM4nhKVEb9oZ,Sabi Ng Lola - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,240896,2021-10-22,32,0.464,0.0831,8,-15.516,1,0.0538,0.966,4.95e-06,0.0848,0.217,131.856,0,acoustic,0.9115847560975611,0.9115847560975611,0.08431768292682926,0.0,0.004,9.75609756097561e-05,0.0
6rqts5PSY9IVqnT0lKWgt9,E.D.S.A - Emosyong Dinaan Sa Awit - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,298208,2021-10-22,33,0.454,0.117,0,-13.678,1,0.0391,0.973,0.0,0.0995,0.411,134.482,0,acoustic,0.8545017378840485,0.8545017378840485,0.1354187650331022,0.0,1.5748031496062993e-05,0.010063749051353401,0.0
7h5QF2tSro93NIwBFTsElJ,"Patawad, Paalam - Halfway Point",0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,340005,2021-10-22,34,0.337,0.27,2,-14.107,1,0.0564,0.826,1.16e-06,0.0694,0.12,81.396,0,acoustic,0.5946666666666668,0.5946666666666668,0.24133333333333332,0.012,0.022,0.12,0.01
5cVJM9niSKOBb19uOoQIS7,Paalam - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,311571,2021-10-22,33,0.468,0.152,4,-9.206,1,0.036,0.888,5.24e-06,0.116,0.174,137.587,0,acoustic,0.8368043015583934,0.8368043015583934,0.07111049916077739,0.0,0.02311574803149606,0.06895143323131533,1.801801801801802e-05
3RR7xekbgxDf2cIJMIBLJE,Patawad - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,282187,2021-10-22,33,0.392,0.116,6,-13.208,1,0.0373,0.956,0.000201,0.0897,0.111,140.496,0,acoustic,0.9296231884057972,0.9296231884057972,0.05435507246376811,0.004,0.0,0.012021739130434781,0.0
19AajYm3j0l4sccSvlFslg,Paubaya - Halfway Point,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,60Evol8eGyt1jBjfGnKSIy,303000,2021-10-22,37,0.514,0.0685,5,-12.901,1,0.0494,0.941,1.13e-05,0.0997,0.5,118.968,0,acoustic,0.9402993155039191,0.9402993155039191,0.05545937446911782,0.0,0.0,0.004241310026963158,0.0
4k2bBass9phXcPGcv5dBp1,Handa Awit,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,154256,2020-10-31,24,0.586,0.505,1,-9.958,1,0.333,0.79,0.000155,0.0825,0.275,109.661,2,hiphop,0.3768333333333333,0.18022222222222223,0.04,0.3768333333333333,0.05444444444444444,0.3245,0.024
1xAGxGcn8FaEjcyerbcS1k,Kita Na Kita,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,221521,2020-10-31,25,0.703,0.566,1,-7.326,1,0.042,0.424,1.72e-05,0.206,0.407,113.939,3,pop,0.2877969276969277,0.0893359753984754,0.16611111111111113,0.11331794294294294,0.2877969276969277,0.26843804285054285,0.075
65ZnHkBQR6UZcFhTFMz3Rh,Ang Iwasan,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,279573,2020-10-31,27,0.426,0.423,8,-7.586,1,0.0342,0.327,3.86e-05,0.0954,0.3,171.736,1,country,0.3923238662415941,0.2472407726987196,0.3923238662415941,0.0104,0.15186684306237574,0.09572344497607656,0.10244507302123401
18iwAdN0rG88hA87m4TykP,Pahinga,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,232989,2020-10-31,23,0.704,0.341,1,-9.141,1,0.0927,0.775,1.65e-06,0.0845,0.328,131.585,0,acoustic,0.454,0.454,0.052,0.076,0.1,0.3,0.018
6g1wjMEPKJNeyaOskbgX5w,Ikaw Pa Rin,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,257048,2020-10-31,24,0.538,0.0993,4,-21.445,1,0.0332,0.729,1.65e-06,0.122,0.158,68.041,0,acoustic,0.5019245283018867,0.5019245283018867,0.40807547169811326,0.0,0.004,0.036,0.05
6ULFzEjSNB1LlSoa9Wv05O,Sabi Ng Lola,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,246416,2020-10-31,22,0.388,0.201,9,-10.779,1,0.0365,0.498,5.87e-05,0.0983,0.141,137.339,0,acoustic,0.6106864828719667,0.6106864828719667,0.1405070180715342,0.016122655122655125,0.04827272727272727,0.10832020757020756,0.0760909090909091
6IVjA2fDadJgyQZpUW7TiZ,E.D.S.A. - Emosyong Dinaan Sa Awit,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,330034,2020-10-31,24,0.34,0.121,0,-16.138,1,0.0367,0.614,3.92e-05,0.117,0.171,136.447,0,acoustic,0.6145276836158191,0.6145276836158191,0.2402867231638418,0.008,0.03208333333333333,0.04830225988700565,0.056799999999999996
2RQeUswanVoZc1ZSFNmYMT,"Patawad, Paalam",0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,323140,2020-10-31,28,0.47,0.289,2,-8.213,1,0.0325,0.865,9.65e-06,0.131,0.194,78.058,0,acoustic,0.8754074224656477,0.8754074224656477,0.05090624077742721,0.0,0.0341,0.025586336756924993,0.014
1BVQ84nn9PM2fPHM27nVJt,Paalam,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,291108,2020-10-31,29,0.294,0.308,4,-7.563,1,0.0305,0.673,2.24e-06,0.102,0.199,99.018,0,acoustic,0.6169128337210591,0.6169128337210591,0.1615783427495292,0.006,0.0584,0.11070882352941178,0.0464
2CuZmn3cvdEkaccGo17uPs,Patawad,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,277480,2020-10-31,32,0.436,0.21,6,-9.4,1,0.0331,0.412,0.0,0.104,0.145,127.095,0,acoustic,0.4614631282514329,0.4614631282514329,0.230807822476216,0.016448051948051948,0.11505143436685018,0.10936987916298262,0.06685968379446641
1NUw61RX4Wtmxw7CLiP4kP,Paubaya,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,282490,2020-10-31,58,0.373,0.245,5,-12.45,1,0.0354,0.766,0.000365,0.0768,0.174,127.067,0,acoustic,0.8100542259690152,0.8100542259690152,0.1311933930786039,0.002,0.004,0.04275238095238095,0.01
68m8iyDT5XYgk8eBsygASq,"Hanggang Sa Huli - From ""24/7""",0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,258906,2020-10-31,23,0.372,0.26,5,-7.945,1,0.0304,0.912,0.0,0.177,0.304,67.882,0,acoustic,0.7976412698412699,0.7976412698412699,0.07432169312169314,0.002,0.07,0.05203703703703704,0.004
5hfHyzqz98LCAThOXzsF64,Unbreakable,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,275330,2020-10-31,34,0.395,0.136,0,-12.19,1,0.0344,0.877,0.0,0.0954,0.223,129.74,0,acoustic,0.8845020870307309,0.8845020870307309,0.08346806222300052,0.0,0.0,0.03202985074626866,0.0
3tcAXmjydO2Kw0uTvVVLg4,Mabagal,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0jIt32srcZv1X5ToMG3f8E,226727,2020-10-31,53,0.356,0.34,5,-10.893,0,0.037,0.508,3.28e-06,0.355,0.287,74.978,0,acoustic,0.4013333333333333,0.4013333333333333,0.07266666666666666,0.074,0.02,0.252,0.18
